radius,value,metric
414.52988,0.739842538,Reissner_Nordstrom
388.1479686,0.697921715,Reissner_Nordstrom
516.8575297,0.790923276,Reissner_Nordstrom
401.0280211,0.74589868,Reissner_Nordstrom
388.3189536,0.696434026,Reissner_Nordstrom
346.6179447,0.650445852,Reissner_Nordstrom
414.8565466,0.738844668,Reissner_Nordstrom
517.6603498,0.792455717,Reissner_Nordstrom
425.2651019,0.752983729,Reissner_Nordstrom
322.0971094,0.617840714,Reissner_Nordstrom
328.8630209,0.669469156,Reissner_Nordstrom
342.3495548,0.674567171,Reissner_Nordstrom
519.1111651,0.807078237,Reissner_Nordstrom
508.1747382,0.779275014,Reissner_Nordstrom
355.8546041,0.702187694,Reissner_Nordstrom
550.4340205,0.806235317,Reissner_Nordstrom
345.5012728,0.651400123,Reissner_Nordstrom
325.5881786,0.628439204,Reissner_Nordstrom
362.3988276,0.678615544,Reissner_Nordstrom
559.7921719,0.809592496,Reissner_Nordstrom
468.8118271,0.781810339,Reissner_Nordstrom
416.6265476,0.737040697,Reissner_Nordstrom
498.969996,0.77787223,Reissner_Nordstrom
540.4317884,0.802877156,Reissner_Nordstrom
381.7123457,0.706122039,Reissner_Nordstrom
590.4350803,0.829525132,Reissner_Nordstrom
364.7814636,0.687122259,Reissner_Nordstrom
485.1200221,0.790818065,Reissner_Nordstrom
481.8059912,0.778066998,Reissner_Nordstrom
545.2882773,0.796024165,Reissner_Nordstrom
484.4037143,0.787659067,Reissner_Nordstrom
355.1548549,0.688771977,Reissner_Nordstrom
589.0530684,0.819845025,Reissner_Nordstrom
508.9582943,0.78032481,Reissner_Nordstrom
428.5171662,0.73122068,Reissner_Nordstrom
347.768578,0.659842108,Reissner_Nordstrom
499.5452067,0.779684714,Reissner_Nordstrom
305.3814272,0.595225716,Reissner_Nordstrom
430.4427342,0.73775835,Reissner_Nordstrom
556.9652832,0.800820647,Reissner_Nordstrom
597.1239293,0.823197105,Reissner_Nordstrom
481.327461,0.792172782,Reissner_Nordstrom
360.0831354,0.667883351,Reissner_Nordstrom
455.3358304,0.76854052,Reissner_Nordstrom
397.9547527,0.711223213,Reissner_Nordstrom
482.0321472,0.783092723,Reissner_Nordstrom
427.5274132,0.735744798,Reissner_Nordstrom
580.80089,0.820104601,Reissner_Nordstrom
331.0677686,0.661609414,Reissner_Nordstrom
463.4675204,0.764783994,Reissner_Nordstrom
448.1452916,0.754030216,Reissner_Nordstrom
510.4900416,0.779995563,Reissner_Nordstrom
350.2882576,0.713006427,Reissner_Nordstrom
446.416072,0.764662066,Reissner_Nordstrom
504.514307,0.778128867,Reissner_Nordstrom
498.7139717,0.78139664,Reissner_Nordstrom
579.879977,0.810245097,Reissner_Nordstrom
592.594638,0.826884342,Reissner_Nordstrom
321.0723301,0.616380543,Reissner_Nordstrom
386.1975181,0.724178361,Reissner_Nordstrom
